17,20,2,0,33,83
17,17,2,1,26,68
17,42,3,1,17,37
22,4,3,0,14,33
22,17,3,1,25,77
22,15,2,0,11,13
22,12,3,1,38,77
22,10,2,0,18,71
22,14,1,1,17,62
22,3,2,1,20,87
22,10,3,1,32,118
22,18,1,1,15,63
22,11,2,1,25,21
22,10,1,0,9,90
22,4,3,0,18,21
22,5,2,0,16,73
22,10,2,0,10,17
22,25,3,1,20,25
22,22,3,1,34,13
22,22,3,0,42,14
22,32,2,1,36,69
27,4,3,1,61,69
27,16,2,0,16,93
27,12,2,0,11,35
27,12,2,1,15,120
27,15,2,1,20,71
27,11,2,0,14,61
27,11,2,0,17,13
27,11,3,0,15,5
27,18,2,0,4,48
27,14,2,0,15,9
27,11,2,1,18,46
27,16,1,0,14,79
27,16,3,0,22,42
27,16,1,0,17,27
27,20,3,0,16,34
27,15,2,0,1,99
27,9,1,1,34,104
27,9,2,1,16,37
27,19,2,0,17,46
27,12,3,1,20,59
27,5,2,1,20,17
27,11,1,0,15,91
27,8,2,0,9,41
27,20,3,1,52,51
27,9,2,1,24,12
27,16,1,1,30,75
27,2,2,0,23,30
27,15,1,0,11,120
27,13,2,1,16,46
27,17,2,0,17,25
27,6,2,0,14,15
27,4,2,0,17,72
27,17,2,1,34,24
27,19,3,1,30,12
27,11,2,0,27,56
27,15,2,0,32,28
27,9,2,0,14,91
27,13,3,1,29,5
27,15,1,0,21,103
27,16,3,1,27,75
27,5,1,0,11,72
27,16,2,0,17,42
27,14,1,0,21,70
27,12,1,1,22,18
27,12,2,1,19,85
27,22,2,0,28,36
27,25,3,1,30,16
27,31,2,0,11,50
27,21,2,0,16,37
27,31,2,1,14,23
27,26,2,0,6,26
27,25,2,1,35,65
27,32,2,1,27,90
27,40,1,1,8,50
27,27,3,1,32,58
27,40,2,1,14,35
27,27,1,1,22,40
27,35,3,1,20,57
27,21,2,1,15,14
27,23,1,0,21,17
27,21,2,1,20,7
27,22,3,0,26,63
27,42,3,1,43,60
27,24,3,0,31,19
27,50,2,1,21,28
27,23,1,0,23,26
32,15,2,1,0,17
32,6,2,0,41,73
32,6,3,0,19,80
32,18,1,0,12,70
32,4,2,0,23,41
32,16,3,1,35,28
32,9,3,1,36,14
32,13,2,1,19,76
32,2,2,0,33,56
32,14,3,0,16,89
32,20,2,0,16,93
32,19,3,1,16,20
32,10,1,0,11,31
32,20,1,0,22,34
32,9,2,0,15,110
32,11,1,0,16,60
32,6,1,0,19,35
32,13,2,0,19,50
32,8,1,0,12,83
32,15,2,0,7,46
32,15,2,1,14,56
32,11,2,0,7,22
32,18,2,1,13,14
32,18,2,0,11,52
32,17,2,0,26,95
